Date,Open,High,Low,Close,Adj Close,Volume,Day
9/12/2014,183.490005,183.509995,182.080002,182.580002,154.038651,724000,135
9/15/2014,182.639999,182.740005,181.889999,182.460007,153.937424,1021700,136
9/16/2014,182.110001,184.119995,182,183.820007,155.084808,565100,137
9/17/2014,184.110001,184.919998,183.199997,184.080002,155.304199,975000,138
9/18/2014,184.649994,185.059998,184.429993,185.039993,156.114151,740000,139
9/19/2014,185.639999,185.839996,184.580002,184.860001,155.962311,964000,140
9/22/2014,183.699997,183.740005,182.229996,182.559998,154.755142,836700,141
9/23/2014,181.949997,182.699997,181.509995,181.529999,153.882019,752200,142
9/24/2014,181.619995,183.070007,181.119995,182.990005,155.119659,968500,143
9/25/2014,182.5,182.520004,179.990005,180.050003,152.627426,1603000,144
9/26/2014,180.360001,181.880005,180.130005,181.5,153.856583,916900,145
9/29/2014,179.929993,181.449997,179.770004,181.139999,153.551437,1482800,146
9/30/2014,181.300003,181.809998,180.289993,180.589996,153.085205,767700,147
10/1/2014,180.339996,180.419998,177.809998,178.220001,151.076202,2380200,148
10/2/2014,178.050003,178.830002,176.399994,178.210007,151.067688,1263800,149
10/3/2014,179.479996,180.550003,178.880005,180.199997,152.754593,1217400,150
10/6/2014,180.940002,181.179993,179.360001,179.979996,152.568115,1307000,151
10/7/2014,179.050003,179.449997,177.199997,177.220001,150.228485,930600,152
10/8/2014,177.330002,180.539993,176.380005,180.320007,152.856339,1897500,153
10/9/2014,180,180.220001,176.600006,176.679993,149.770706,1428600,154
10/10/2014,176.649994,177.550003,174.660004,174.699997,148.0923,2469900,155
10/13/2014,174.630005,175.25,171.729996,171.830002,145.659348,2109200,156
10/14/2014,172.729996,174.020004,171.5,172.110001,145.896744,2431300,157
10/15/2014,169.800003,171.300003,166.850006,170.830002,144.811661,5460300,158
10/16/2014,167.820007,171.949997,167.679993,170.720001,144.718414,4452600,159
10/17/2014,172.729996,173.979996,172.039993,172.830002,146.507095,2259400,160
10/20/2014,172.529999,174.600006,172.449997,174.529999,147.948212,1379400,161
10/21/2014,175.779999,178.039993,175.589996,177.919998,150.821838,2884200,162
10/22/2014,178.289993,178.720001,176.610001,176.710007,149.796143,2374200,163
10/23/2014,178.449997,179.850006,178.169998,178.740005,151.516998,1812400,164
10/24/2014,179.029999,180.169998,178.360001,180.080002,152.652832,1152600,165
10/27/2014,179.509995,180.130005,178.869995,179.850006,152.457886,1476000,166
10/28/2014,180.490005,181.940002,180.399994,181.919998,154.212646,1330000,167
10/29/2014,182.029999,182.580002,180.470001,181.710007,154.034622,1600700,168
10/30/2014,181.169998,183.330002,181.050003,182.860001,155.00943,1588900,169
10/31/2014,185.020004,185.050003,184.100006,184.929993,156.76413,1946100,170
11/3/2014,185.199997,185.619995,184.600006,185.039993,156.857437,2270000,171
11/4/2014,184.559998,184.850006,183.449997,184.380005,156.297958,1639400,172
11/5/2014,185.740005,185.779999,184.740005,185.589996,157.323685,1826500,173
11/6/2014,185.570007,186.380005,184.899994,186.339996,157.959457,1758600,174
11/7/2014,186.339996,186.679993,185.800003,186.5,158.095047,1396400,175
11/10/2014,186.479996,187.100006,186.270004,187.059998,158.569748,1876400,176
11/11/2014,187.139999,187.339996,186.779999,187.240005,158.722382,1031600,177
11/12/2014,186.490005,187.279999,186.460007,187.089996,158.5952,2742900,178
11/13/2014,187.240005,187.839996,186.380005,187.259995,158.739349,1163600,179
11/14/2014,187.190002,187.529999,186.850006,187.330002,158.798645,1464500,180
11/17/2014,186.929993,187.589996,186.759995,187.429993,158.883423,584600,181
